POINT_X,POINT_Y,PM25_INDDD,PM10_INDDD,NOx_INDDD,SO2_INDDD,CO_INDDD,VOC_INDDD
77.28,28.5,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.3,28.51,14.74,26.27,59.43,236.5,7.725797101,0.0
77.14,28.51,24.56,43.78,99.03,394.1,12.88,0.0
77.23,28.51,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.29,28.51,24.56,43.78,99.03,394.1,12.88,0.0
77.3,28.51,54.04,96.3,217.9,867.0,28.33,0.0
77.11,28.51,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.28,28.51,14.74,26.27,59.43,236.5,7.725797101,0.0
77.29,28.51,34.38,61.3,138.6,551.8,18.03,0.0
77.3,28.51,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.28,28.52,29.47,52.55,118.8,472.9,15.45,0.0
77.28,28.52,68.78,122.6,277.4,1103.0,36.06,0.0
77.29,28.52,63.86,113.8,257.6,1025.0,33.48,0.0
77.21,28.52,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.52,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.28,28.52,58.95,105.1,237.8,946.0,30.91,0.0
77.28,28.52,34.38,61.3,138.6,551.8,18.03,0.0
77.29,28.52,78.59,140.1,317.0,1261.0,41.21,0.0
77.29,28.52,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.14,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.22,28.53,4.912250636,8.754871664,19.81,78.83,2.575265701,0.0
77.27,28.53,24.56,43.78,99.03,394.1,12.88,0.0
77.28,28.53,93.33,166.4,376.4,1498.0,48.93,0.0
77.28,28.53,103.2,183.9,416.0,1655.0,54.08,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,24.56,43.78,99.03,394.1,12.88,0.0
77.28,28.53,49.12,87.55,198.1,788.3,25.75,0.0
77.29,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
77.27,28.53,19.65,35.03,79.24,315.3,10.3,0.0
77.27,28.53,14.74,26.27,59.43,236.5,7.725797101,0.0
77.28,28.53,29.47,52.55,118.8,472.9,15.45,0.0
77.28,28.53,9.8262908,17.52,39.62,157.7,5.150531401,0.0
